# Пример ВФХ (синтетические данные)
V, В;C, пФ
-3.00;8.979
-2.95;9.05
-2.90;9.123
-2.85;9.198
-2.80;9.275
-2.75;9.354
-2.70;9.435
-2.65;9.517
-2.60;9.603
-2.55;9.69
-2.50;9.78
-2.45;9.872
-2.40;9.967
-2.35;10.07
-2.30;10.17
-2.25;10.27
-2.20;10.38
-2.15;10.49
-2.10;10.6
-2.05;10.72
-2.00;10.84
-1.95;10.97
-1.90;11.1
-1.85;11.23
-1.80;11.38
-1.75;11.52
-1.70;11.67
-1.65;11.83
-1.60;12
-1.55;12.17
-1.50;12.35
-1.45;12.54
-1.40;12.73
-1.35;12.94
-1.30;13.15
-1.25;13.38
-1.20;13.62
-1.15;13.87
-1.10;14.14
-1.05;14.43
-1.00;14.73
-0.95;15.05
-0.90;15.39
-0.85;15.76
-0.80;16.15
-0.75;16.58
-0.70;17.04
-0.65;17.55
-0.60;18.1
-0.55;18.71
-0.50;19.38
-0.45;20.13
-0.40;20.97
-0.35;21.94
-0.30;23.04
-0.25;24.33
-0.20;25.87
-0.15;27.74
-0.10;30.09
-0.05;33.16
-0.00;37.41
0.05;43.86
0.10;55.47
0.15;87.62
