# Пример ВАХ (синтетические данные, модель (6.3)): n = 1.4, J0 = 2e-6 А/см2, D = 500 мкм, Rs = 40 Ом, Rsh = 2e5 Ом
V (В);I (А)
-3.00;-1.502e-05
-2.98;-1.488e-05
-2.96;-1.490e-05
-2.94;-1.472e-05
-2.92;-1.452e-05
-2.90;-1.455e-05
-2.88;-1.459e-05
-2.86;-1.444e-05
-2.84;-1.410e-05
-2.82;-1.392e-05
-2.80;-1.391e-05
-2.78;-1.391e-05
-2.76;-1.348e-05
-2.74;-1.367e-05
-2.72;-1.343e-05
-2.70;-1.340e-05
-2.68;-1.333e-05
-2.66;-1.326e-05
-2.64;-1.326e-05
-2.62;-1.324e-05
-2.60;-1.298e-05
-2.58;-1.308e-05
-2.56;-1.272e-05
-2.54;-1.275e-05
-2.52;-1.272e-05
-2.50;-1.251e-05
-2.48;-1.231e-05
-2.46;-1.219e-05
-2.44;-1.215e-05
-2.42;-1.213e-05
-2.40;-1.188e-05
-2.38;-1.188e-05
-2.36;-1.178e-05
-2.34;-1.176e-05
-2.32;-1.163e-05
-2.30;-1.154e-05
-2.28;-1.133e-05
-2.26;-1.129e-05
-2.24;-1.129e-05
-2.22;-1.127e-05
-2.20;-1.086e-05
-2.18;-1.107e-05
-2.16;-1.095e-05
-2.14;-1.079e-05
-2.12;-1.063e-05
-2.10;-1.047e-05
-2.08;-1.055e-05
-2.06;-1.050e-05
-2.04;-1.039e-05
-2.02;-1.023e-05
-2.00;-1.004e-05
-1.98;-9.782e-06
-1.96;-9.802e-06
-1.94;-9.766e-06
-1.92;-9.478e-06
-1.90;-9.540e-06
-1.88;-9.442e-06
-1.86;-9.367e-06
-1.84;-9.093e-06
-1.82;-9.042e-06
-1.80;-8.963e-06
-1.78;-8.798e-06
-1.76;-8.955e-06
-1.74;-8.659e-06
-1.72;-8.631e-06
-1.70;-8.480e-06
-1.68;-8.535e-06
-1.66;-8.412e-06
-1.64;-8.254e-06
-1.62;-7.924e-06
-1.60;-8.006e-06
-1.58;-7.956e-06
-1.56;-7.881e-06
-1.54;-7.655e-06
-1.52;-7.741e-06
-1.50;-7.403e-06
-1.48;-7.353e-06
-1.46;-7.371e-06
-1.44;-7.206e-06
-1.42;-7.245e-06
-1.40;-7.016e-06
-1.38;-6.859e-06
-1.36;-6.777e-06
-1.34;-6.629e-06
-1.32;-6.518e-06
-1.30;-6.544e-06
-1.28;-6.440e-06
-1.26;-6.384e-06
-1.24;-6.156e-06
-1.22;-6.206e-06
-1.20;-5.985e-06
-1.18;-5.996e-06
-1.16;-5.778e-06
-1.14;-5.661e-06
-1.12;-5.617e-06
-1.10;-5.560e-06
-1.08;-5.412e-06
-1.06;-5.272e-06
-1.04;-5.133e-06
-1.02;-5.031e-06
-1.00;-5.028e-06
-0.98;-4.951e-06
-0.96;-4.795e-06
-0.94;-4.652e-06
-0.92;-4.643e-06
-0.90;-4.445e-06
-0.88;-4.372e-06
-0.86;-4.330e-06
-0.84;-4.109e-06
-0.82;-4.119e-06
-0.80;-3.980e-06
-0.78;-3.907e-06
-0.76;-3.800e-06
-0.74;-3.711e-06
-0.72;-3.628e-06
-0.70;-3.477e-06
-0.68;-3.452e-06
-0.66;-3.327e-06
-0.64;-3.230e-06
-0.62;-3.139e-06
-0.60;-3.027e-06
-0.58;-2.928e-06
-0.56;-2.805e-06
-0.54;-2.665e-06
-0.52;-2.600e-06
-0.50;-2.484e-06
-0.48;-2.369e-06
-0.46;-2.309e-06
-0.44;-2.191e-06
-0.42;-2.082e-06
-0.40;-1.983e-06
-0.38;-1.909e-06
-0.36;-1.810e-06
-0.34;-1.726e-06
-0.32;-1.603e-06
-0.30;-1.519e-06
-0.28;-1.423e-06
-0.26;-1.319e-06
-0.24;-1.175e-06
-0.22;-1.117e-06
-0.20;-1.007e-06
-0.18;-9.075e-07
-0.16;-8.067e-07
-0.14;-7.064e-07
-0.12;-6.056e-07
-0.10;-5.018e-07
-0.08;-3.957e-07
-0.06;-3.028e-07
-0.04;-2.010e-07
-0.02;-1.027e-07
0.00;0.000e+00
0.02;1.030e-07
0.04;2.061e-07
0.06;3.150e-07
0.08;4.317e-07
0.10;5.499e-07
0.12;7.061e-07
0.14;8.827e-07
0.16;1.109e-06
0.18;1.427e-06
0.20;1.990e-06
0.22;2.796e-06
0.24;4.138e-06
0.26;6.418e-06
0.28;1.047e-05
0.30;1.682e-05
0.32;2.795e-05
0.34;4.582e-05
0.36;7.836e-05
0.38;1.270e-04
0.40;2.025e-04
0.42;3.083e-04
0.44;4.588e-04
0.46;6.440e-04
0.48;8.731e-04
0.50;1.127e-03
0.52;1.400e-03
0.54;1.756e-03
0.56;2.037e-03
0.58;2.428e-03
0.60;2.799e-03
0.62;3.155e-03
0.64;3.605e-03
0.66;3.978e-03
0.68;4.378e-03
0.70;4.840e-03
0.72;5.214e-03
0.74;5.747e-03
0.76;6.123e-03
0.78;6.507e-03
0.80;6.844e-03
0.82;7.327e-03
0.84;7.956e-03
0.86;8.316e-03
0.88;8.748e-03
0.90;9.378e-03
0.92;9.559e-03
0.94;1.008e-02
0.96;1.055e-02
0.98;1.113e-02
1.00;1.145e-02
