Напряжение	Ток, мкА
-3,00	-15,02
-2,98	-14,88
-2,96	-14,9
-2,94	-14,72
-2,92	-14,52
-2,90	-14,55
-2,88	-14,59
-2,86	-14,44
-2,84	-14,1
-2,82	-13,92
-2,80	-13,91
-2,78	-13,91
-2,76	-13,48
-2,74	-13,67
-2,72	-13,43
-2,70	-13,4
-2,68	-13,33
-2,66	-13,26
-2,64	-13,26
-2,62	-13,24
-2,60	-12,98
-2,58	-13,08
-2,56	-12,72
-2,54	-12,75
-2,52	-12,72
-2,50	-12,51
-2,48	-12,31
-2,46	-12,19
-2,44	-12,15
-2,42	-12,13
-2,40	-11,88
-2,38	-11,88
-2,36	-11,78
-2,34	-11,76
-2,32	-11,63
-2,30	-11,54
-2,28	-11,33
-2,26	-11,29
-2,24	-11,29
-2,22	-11,27
-2,20	-10,86
-2,18	-11,07
-2,16	-10,95
-2,14	-10,79
-2,12	-10,63
-2,10	-10,47
-2,08	-10,55
-2,06	-10,5
-2,04	-10,39
-2,02	-10,23
-2,00	-10,04
-1,98	-9,782
-1,96	-9,802
-1,94	-9,766
-1,92	-9,478
-1,90	-9,54
-1,88	-9,442
-1,86	-9,367
-1,84	-9,093
-1,82	-9,042
-1,80	-8,963
-1,78	-8,798
-1,76	-8,955
-1,74	-8,659
-1,72	-8,631
-1,70	-8,48
-1,68	-8,535
-1,66	-8,412
-1,64	-8,254
-1,62	-7,924
-1,60	-8,006
-1,58	-7,956
-1,56	-7,881
-1,54	-7,655
-1,52	-7,741
-1,50	-7,403
-1,48	-7,353
-1,46	-7,371
-1,44	-7,206
-1,42	-7,245
-1,40	-7,016
-1,38	-6,859
-1,36	-6,777
-1,34	-6,629
-1,32	-6,518
-1,30	-6,544
-1,28	-6,44
-1,26	-6,384
-1,24	-6,156
-1,22	-6,206
-1,20	-5,985
-1,18	-5,996
-1,16	-5,778
-1,14	-5,661
-1,12	-5,617
-1,10	-5,56
-1,08	-5,412
-1,06	-5,272
-1,04	-5,133
-1,02	-5,031
-1,00	-5,028
-0,98	-4,951
-0,96	-4,795
-0,94	-4,652
-0,92	-4,643
-0,90	-4,445
-0,88	-4,372
-0,86	-4,33
-0,84	-4,109
-0,82	-4,119
-0,80	-3,98
-0,78	-3,907
-0,76	-3,8
-0,74	-3,711
-0,72	-3,628
-0,70	-3,477
-0,68	-3,452
-0,66	-3,327
-0,64	-3,23
-0,62	-3,139
-0,60	-3,027
-0,58	-2,928
-0,56	-2,805
-0,54	-2,665
-0,52	-2,6
-0,50	-2,484
-0,48	-2,369
-0,46	-2,309
-0,44	-2,191
-0,42	-2,082
-0,40	-1,983
-0,38	-1,909
-0,36	-1,81
-0,34	-1,726
-0,32	-1,603
-0,30	-1,519
-0,28	-1,423
-0,26	-1,319
-0,24	-1,175
-0,22	-1,117
-0,20	-1,007
-0,18	-0,9075
-0,16	-0,8067
-0,14	-0,7064
-0,12	-0,6056
-0,10	-0,5018
-0,08	-0,3957
-0,06	-0,3028
-0,04	-0,201
-0,02	-0,1027
0,00	0
0,02	0,103
0,04	0,2061
0,06	0,315
0,08	0,4317
0,10	0,5499
0,12	0,7061
0,14	0,8827
0,16	1,109
0,18	1,427
0,20	1,99
0,22	2,796
0,24	4,138
0,26	6,418
0,28	10,47
0,30	16,82
0,32	27,95
0,34	45,82
0,36	78,36
0,38	127
0,40	202,5
0,42	308,3
0,44	458,8
0,46	644
0,48	873,1
0,50	1127
0,52	1400
0,54	1756
0,56	2037
0,58	2428
0,60	2799
0,62	3155
0,64	3605
0,66	3978
0,68	4378
0,70	4840
0,72	5214
0,74	5747
0,76	6123
0,78	6507
0,80	6844
0,82	7327
0,84	7956
0,86	8316
0,88	8748
0,90	9378
0,92	9559
0,94	1,008e+04
0,96	1,055e+04
0,98	1,113e+04
1,00	1,145e+04
